00002.png
query kp idx/ query kp pos / train kp idx / train kp pos / dispartity / query des / train des
[220, (403.20001220703125, 358.5600280761719), 260, (404.6400146484375, 354.2400207519531), -1.44000244140625, [120, 158, 92, 156, 27, 227, 17, 51, 151, 190, 175, 189, 78, 39, 2, 87, 69, 181, 237, 32, 56, 79, 73, 31, 251, 183, 81, 127, 18, 168, 132, 115], [120, 158, 92, 188, 27, 231, 17, 51, 151, 174, 165, 189, 78, 55, 2, 83, 69, 181, 237, 32, 56, 79, 81, 29, 211, 179, 113, 63, 82, 168, 132, 83]]
[224, (417.6000061035156, 360.0), 225, (419.0400085449219, 355.6800231933594), -1.44000244140625, [146, 248, 244, 115, 131, 234, 49, 214, 59, 191, 53, 56, 143, 63, 69, 30, 35, 223, 213, 16, 42, 252, 152, 226, 143, 214, 85, 103, 227, 81, 135, 251], [146, 248, 244, 115, 131, 106, 49, 214, 59, 187, 49, 57, 143, 63, 69, 62, 163, 223, 229, 16, 42, 252, 216, 226, 207, 214, 85, 103, 227, 81, 135, 187]]
[271, (453.6000061035156, 263.52001953125), 272, (455.0400085449219, 259.20001220703125), -1.44000244140625, [147, 124, 247, 95, 139, 245, 181, 102, 189, 202, 124, 183, 248, 254, 167, 169, 239, 122, 182, 148, 165, 236, 58, 234, 43, 219, 214, 139, 243, 117, 103, 255], [147, 124, 247, 95, 139, 247, 181, 102, 189, 202, 124, 181, 248, 254, 167, 173, 239, 122, 246, 144, 165, 236, 50, 234, 139, 223, 87, 139, 251, 117, 101, 255]]
[441, (253.8087158203125, 307.5564270019531), 441, (253.8087158203125, 304.5704345703125), 0.0, [40, 93, 125, 231, 48, 79, 127, 180, 36, 236, 126, 9, 215, 63, 0, 81, 150, 116, 95, 106, 201, 176, 113, 44, 231, 251, 37, 144, 98, 186, 198, 251], [40, 221, 125, 231, 48, 79, 127, 180, 36, 236, 126, 12, 215, 63, 0, 81, 150, 116, 95, 106, 201, 176, 113, 44, 231, 251, 37, 144, 98, 186, 70, 243]]
[442, (322.4863586425781, 304.5704345703125), 445, (322.4863586425781, 301.58447265625), 0.0, [131, 156, 255, 221, 244, 230, 189, 247, 92, 206, 94, 22, 184, 191, 182, 97, 111, 122, 55, 157, 241, 252, 55, 255, 111, 47, 255, 192, 149, 248, 245, 249], [131, 156, 255, 221, 244, 246, 189, 247, 92, 207, 86, 150, 184, 191, 182, 97, 111, 122, 55, 157, 241, 252, 55, 255, 111, 47, 255, 192, 149, 248, 245, 249]]
[475, (695.1372680664062, 164.8263702392578), 474, (695.1372680664062, 161.24317932128906), 0.0, [245, 165, 205, 101, 172, 43, 71, 191, 114, 234, 186, 252, 83, 33, 209, 51, 89, 198, 108, 46, 249, 255, 237, 14, 248, 174, 229, 180, 237, 248, 210, 56], [241, 165, 205, 101, 188, 43, 71, 191, 114, 234, 186, 252, 83, 33, 209, 51, 89, 198, 108, 46, 249, 254, 237, 14, 248, 175, 245, 180, 237, 248, 210, 56]]
[477, (691.5540771484375, 214.99090576171875), 478, (691.5540771484375, 211.40773010253906), 0.0, [131, 91, 63, 188, 98, 196, 189, 118, 188, 72, 82, 103, 188, 150, 33, 97, 230, 59, 31, 197, 227, 159, 2, 253, 181, 48, 186, 138, 24, 16, 33, 185], [131, 91, 63, 188, 98, 132, 189, 118, 188, 72, 82, 103, 188, 158, 33, 97, 230, 59, 31, 197, 227, 159, 2, 253, 181, 48, 250, 138, 24, 17, 33, 251]]
[479, (705.8868408203125, 225.74046325683594), 479, (705.8868408203125, 222.1572723388672), 0.0, [2, 217, 55, 255, 87, 134, 187, 182, 30, 73, 82, 86, 188, 247, 32, 100, 228, 59, 51, 201, 227, 152, 19, 255, 45, 255, 154, 66, 26, 8, 161, 187], [138, 217, 51, 255, 87, 134, 187, 182, 30, 73, 82, 70, 188, 247, 32, 228, 228, 59, 51, 193, 227, 152, 19, 255, 37, 255, 154, 194, 26, 8, 161, 187]]
[480, (408.48272705078125, 229.32363891601562), 455, (412.06591796875, 226.93484497070312), -3.58319091796875, [43, 143, 98, 154, 247, 145, 190, 231, 95, 65, 92, 167, 40, 200, 182, 228, 254, 43, 147, 197, 214, 186, 6, 255, 62, 124, 158, 203, 31, 12, 249, 157], [43, 143, 98, 152, 247, 145, 190, 231, 95, 69, 92, 167, 40, 200, 182, 228, 254, 43, 147, 197, 214, 186, 6, 255, 62, 124, 158, 203, 31, 12, 249, 221]]
[489, (322.4863586425781, 304.5704650878906), 490, (322.4863586425781, 300.9872741699219), 0.0, [8, 156, 126, 253, 245, 246, 253, 247, 92, 207, 94, 19, 184, 191, 50, 96, 237, 126, 179, 136, 240, 248, 49, 255, 111, 255, 254, 1, 150, 216, 253, 250], [136, 156, 126, 221, 245, 246, 253, 247, 92, 207, 94, 18, 184, 191, 50, 96, 237, 126, 179, 136, 240, 252, 49, 255, 111, 239, 254, 1, 150, 216, 253, 250]]
[495, (343.9854736328125, 336.819091796875), 494, (343.9854736328125, 333.23590087890625), 0.0, [57, 91, 107, 206, 118, 147, 239, 244, 84, 200, 252, 230, 113, 221, 183, 96, 126, 232, 23, 238, 201, 179, 44, 175, 114, 237, 167, 128, 127, 187, 112, 249], [57, 91, 107, 206, 118, 150, 239, 244, 84, 200, 254, 230, 113, 221, 183, 96, 126, 232, 23, 238, 201, 179, 44, 175, 114, 173, 167, 128, 127, 187, 112, 249]]

